,self_own_assets,poor_level,poor_level_5y_ago,poor_level_5y_later,job_satisfaction,working hours,life_satisfaction
306,1,1.0,1.0,1.0,2.0,49.0,4.0
307,1,1.0,1.0,1.0,2.0,49.0,4.0
308,3,6.0,6.0,6.0,2.0,18.0,2.0
309,1,6.0,6.0,6.0,2.0,18.0,2.0
310,1,6.0,6.0,6.0,2.0,18.0,2.0
311,1,6.0,6.0,6.0,2.0,18.0,2.0
312,1,6.0,6.0,6.0,2.0,18.0,2.0
313,1,6.0,6.0,6.0,2.0,18.0,2.0
314,1,1.0,1.0,1.0,4.0,28.0,4.0
315,1,1.0,1.0,1.0,4.0,28.0,4.0
316,1,1.0,1.0,1.0,4.0,28.0,4.0
317,1,1.0,1.0,1.0,4.0,28.0,4.0
318,1,1.0,1.0,1.0,2.0,14.0,2.0
319,1,1.0,1.0,1.0,2.0,14.0,2.0
320,1,1.0,1.0,1.0,2.0,14.0,2.0
321,1,1.0,1.0,1.0,2.0,14.0,2.0
322,1,1.0,1.0,1.0,2.0,42.0,3.0
323,1,1.0,1.0,1.0,2.0,42.0,3.0
324,1,1.0,1.0,1.0,2.0,42.0,3.0
325,1,1.0,1.0,1.0,2.0,42.0,3.0
326,1,1.0,1.0,1.0,2.0,42.0,3.0
327,1,1.0,1.0,1.0,2.0,42.0,3.0
328,1,1.0,1.0,1.0,2.0,42.0,3.0
329,1,1.0,1.0,1.0,2.0,42.0,3.0
330,1,1.0,1.0,1.0,2.0,42.0,3.0
331,1,1.0,1.0,1.0,2.0,42.0,3.0
332,1,1.0,1.0,1.0,2.0,42.0,3.0
333,1,1.0,1.0,1.0,2.0,0.0,3.0
334,1,1.0,1.0,1.0,2.0,0.0,3.0
335,1,1.0,1.0,1.0,2.0,0.0,3.0
336,1,1.0,1.0,1.0,2.0,0.0,3.0
337,1,1.0,1.0,1.0,2.0,0.0,3.0
338,1,1.0,1.0,1.0,3.0,0.0,4.0
339,1,1.0,1.0,1.0,3.0,0.0,4.0
340,1,1.0,1.0,1.0,3.0,0.0,4.0
341,1,1.0,1.0,1.0,3.0,0.0,4.0
342,1,1.0,1.0,1.0,3.0,0.0,4.0
343,1,6.0,6.0,6.0,2.0,63.0,2.0
344,1,6.0,6.0,6.0,2.0,63.0,2.0
345,1,6.0,6.0,6.0,2.0,63.0,2.0
346,1,6.0,6.0,6.0,2.0,63.0,2.0
347,1,6.0,6.0,6.0,2.0,63.0,2.0
348,1,1.0,1.0,1.0,2.0,14.0,3.0
349,1,1.0,1.0,1.0,2.0,14.0,3.0
350,1,1.0,1.0,1.0,2.0,14.0,3.0
351,1,1.0,1.0,6.0,2.0,24.0,4.0
352,1,1.0,1.0,6.0,2.0,24.0,4.0
353,1,1.0,1.0,6.0,2.0,24.0,4.0
354,1,1.0,1.0,6.0,2.0,24.0,4.0
355,1,1.0,1.0,6.0,2.0,24.0,4.0
356,1,1.0,1.0,6.0,2.0,24.0,4.0
357,1,1.0,1.0,6.0,2.0,24.0,4.0
358,1,1.0,1.0,6.0,2.0,35.0,3.0
359,1,1.0,1.0,6.0,2.0,35.0,3.0
360,1,1.0,1.0,6.0,2.0,35.0,3.0
361,1,1.0,1.0,6.0,2.0,35.0,3.0
362,1,6.0,6.0,6.0,1.0,0.0,2.0
363,1,6.0,6.0,6.0,1.0,0.0,2.0
364,1,6.0,6.0,6.0,1.0,0.0,2.0
365,1,6.0,6.0,6.0,1.0,0.0,2.0
366,1,6.0,6.0,6.0,2.0,2.0,3.0
367,1,6.0,6.0,6.0,2.0,2.0,3.0
368,1,6.0,6.0,6.0,2.0,2.0,3.0
369,1,6.0,6.0,6.0,2.0,2.0,3.0
370,1,6.0,6.0,6.0,2.0,2.0,3.0
371,1,6.0,6.0,6.0,2.0,2.0,3.0
372,1,1.0,1.0,1.0,2.0,56.0,2.0
373,1,1.0,1.0,1.0,2.0,56.0,2.0
374,1,1.0,1.0,1.0,2.0,56.0,2.0
375,1,1.0,1.0,1.0,2.0,56.0,2.0
376,1,1.0,1.0,1.0,2.0,84.0,3.0
377,1,1.0,1.0,1.0,2.0,84.0,3.0
378,1,1.0,1.0,1.0,2.0,84.0,3.0
379,1,1.0,1.0,1.0,2.0,84.0,3.0
380,1,1.0,1.0,1.0,2.0,84.0,3.0
381,1,1.0,1.0,1.0,2.0,25.0,4.0
382,1,1.0,1.0,1.0,2.0,25.0,4.0
383,1,1.0,1.0,1.0,2.0,25.0,4.0
384,1,1.0,1.0,1.0,2.0,25.0,4.0
385,1,1.0,1.0,1.0,2.0,25.0,4.0
386,1,1.0,1.0,1.0,2.0,2.0,3.0
387,1,1.0,1.0,1.0,2.0,2.0,3.0
388,1,1.0,1.0,1.0,2.0,2.0,3.0
389,1,1.0,1.0,1.0,2.0,2.0,3.0
390,1,1.0,1.0,6.0,2.0,42.0,4.0
391,1,1.0,1.0,6.0,2.0,42.0,4.0
392,1,1.0,1.0,6.0,2.0,42.0,4.0
393,1,1.0,1.0,6.0,2.0,42.0,4.0
394,1,1.0,1.0,6.0,2.0,42.0,4.0
395,1,1.0,1.0,1.0,2.0,30.0,2.0
396,1,1.0,1.0,1.0,2.0,30.0,2.0
397,1,1.0,1.0,1.0,2.0,30.0,2.0
398,1,6.0,6.0,6.0,3.0,46.0,2.0
399,1,6.0,6.0,6.0,3.0,46.0,2.0
400,1,6.0,6.0,6.0,3.0,46.0,2.0
401,1,6.0,6.0,6.0,3.0,46.0,2.0
402,1,6.0,6.0,6.0,3.0,46.0,2.0
403,1,6.0,6.0,6.0,3.0,46.0,2.0
404,1,6.0,6.0,6.0,3.0,46.0,2.0
405,1,6.0,6.0,6.0,3.0,46.0,2.0
406,1,1.0,1.0,1.0,3.0,28.0,4.0
407,1,1.0,1.0,1.0,3.0,28.0,4.0
408,1,1.0,1.0,1.0,3.0,28.0,4.0
409,1,1.0,1.0,1.0,3.0,28.0,4.0
410,1,6.0,6.0,6.0,2.0,0.0,2.0
411,1,6.0,6.0,6.0,2.0,0.0,2.0
412,1,6.0,6.0,6.0,2.0,0.0,2.0
413,1,6.0,6.0,6.0,2.0,0.0,2.0
414,1,6.0,6.0,6.0,2.0,0.0,2.0
415,1,6.0,6.0,6.0,2.0,0.0,2.0
416,1,6.0,6.0,6.0,2.0,0.0,2.0
417,1,6.0,6.0,6.0,2.0,0.0,2.0
418,1,1.0,6.0,6.0,2.0,48.0,2.0
419,1,1.0,6.0,6.0,2.0,48.0,2.0
420,1,1.0,6.0,6.0,2.0,48.0,2.0
421,1,1.0,6.0,6.0,2.0,48.0,2.0
422,1,1.0,6.0,6.0,2.0,48.0,2.0
423,1,1.0,6.0,6.0,2.0,48.0,2.0
424,1,1.0,1.0,1.0,3.0,24.0,3.0
425,1,1.0,1.0,1.0,3.0,24.0,3.0
426,1,1.0,1.0,1.0,3.0,24.0,3.0
427,1,1.0,1.0,1.0,3.0,24.0,3.0
428,1,6.0,6.0,6.0,1.0,70.0,2.0
429,1,6.0,6.0,6.0,1.0,70.0,2.0
430,1,6.0,6.0,6.0,1.0,70.0,2.0
431,1,6.0,6.0,6.0,1.0,70.0,2.0
432,1,6.0,6.0,6.0,1.0,70.0,2.0
433,3,1.0,1.0,1.0,2.0,10.0,2.0
434,1,1.0,1.0,1.0,2.0,10.0,2.0
435,1,1.0,1.0,1.0,2.0,10.0,2.0
436,1,1.0,1.0,1.0,2.0,10.0,2.0
437,1,1.0,1.0,1.0,2.0,10.0,2.0
438,1,1.0,1.0,1.0,2.0,10.0,2.0
439,1,6.0,6.0,6.0,3.0,14.0,4.0
440,1,6.0,6.0,6.0,3.0,14.0,4.0
441,1,6.0,6.0,6.0,3.0,14.0,4.0
442,1,6.0,6.0,6.0,3.0,14.0,4.0
443,1,6.0,6.0,6.0,3.0,14.0,4.0
444,1,6.0,6.0,6.0,3.0,14.0,4.0
445,1,6.0,6.0,6.0,3.0,14.0,4.0
446,1,6.0,6.0,6.0,3.0,14.0,4.0
447,1,6.0,6.0,6.0,1.0,14.0,2.0
448,1,6.0,6.0,6.0,1.0,14.0,2.0
449,1,6.0,6.0,6.0,1.0,14.0,2.0
450,1,6.0,6.0,6.0,1.0,14.0,2.0
451,1,6.0,6.0,6.0,1.0,14.0,2.0
452,1,6.0,6.0,6.0,1.0,14.0,2.0
453,1,1.0,1.0,1.0,2.0,12.0,2.0
454,1,1.0,1.0,1.0,2.0,12.0,2.0
455,1,1.0,1.0,1.0,2.0,12.0,2.0
456,1,1.0,1.0,1.0,2.0,42.0,2.0
457,1,1.0,1.0,1.0,2.0,42.0,2.0
458,1,1.0,1.0,1.0,2.0,42.0,2.0
459,1,1.0,1.0,1.0,2.0,42.0,2.0
460,1,1.0,1.0,1.0,2.0,70.0,3.0
461,1,1.0,1.0,1.0,2.0,70.0,3.0
462,1,1.0,1.0,1.0,2.0,70.0,3.0
463,1,1.0,1.0,1.0,2.0,70.0,3.0
464,1,1.0,1.0,1.0,2.0,70.0,3.0
465,1,1.0,1.0,1.0,2.0,27.0,4.0
466,1,1.0,1.0,1.0,2.0,27.0,4.0
467,1,1.0,1.0,1.0,2.0,27.0,4.0
468,1,1.0,1.0,1.0,2.0,27.0,4.0
